"Plot Title: 21923817"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 21923817, SEN S/N: 21923817)","Intensity, Lux (LGR S/N: 21923817, SEN S/N: 21923817)","Coupler Attached (LGR S/N: 21923817, SEN S/N: 21923817)","Host Connected (LGR S/N: 21923817, SEN S/N: 21923817)","Stopped (LGR S/N: 21923817, SEN S/N: 21923817)","End Of File (LGR S/N: 21923817, SEN S/N: 21923817)"
1,07/11/2024 09:00:00 AM,21.951,2497.2,,,,
2,07/11/2024 09:05:00 AM,21.951,2497.2,,,,
3,07/11/2024 09:10:00 AM,21.951,2497.2,,,,
4,07/11/2024 09:15:00 AM,21.951,2497.2,,,,
5,07/11/2024 09:20:00 AM,22.046,2497.2,,,,
6,07/11/2024 09:25:00 AM,22.046,2497.2,,,,
7,07/11/2024 09:30:00 AM,22.046,2497.2,,,,
8,07/11/2024 09:35:00 AM,22.046,2497.2,,,,
9,07/11/2024 09:40:00 AM,22.046,2497.2,,,,
10,07/11/2024 09:45:00 AM,22.142,2497.2,,,,
11,07/11/2024 09:50:00 AM,22.142,2497.2,,,,
12,07/11/2024 09:55:00 AM,22.142,2497.2,,,,
13,07/11/2024 10:00:00 AM,22.142,2497.2,,,,
14,07/11/2024 10:05:00 AM,22.142,2497.2,,,,
15,07/11/2024 10:10:00 AM,22.142,2497.2,,,,
16,07/11/2024 10:15:00 AM,22.142,2497.2,,,,
17,07/11/2024 10:20:00 AM,22.142,2497.2,,,,
18,07/11/2024 10:25:00 AM,22.142,2497.2,,,,
19,07/11/2024 10:30:00 AM,22.142,2497.2,,,,
20,07/11/2024 10:35:00 AM,22.046,2497.2,,,,
21,07/11/2024 10:40:00 AM,22.046,2497.2,,,,
22,07/11/2024 10:45:00 AM,22.142,2497.2,,,,
23,07/11/2024 10:50:00 AM,22.142,2497.2,,,,
24,07/11/2024 10:55:00 AM,22.142,2497.2,,,,
25,07/11/2024 11:00:00 AM,22.238,2497.2,,,,
26,07/11/2024 11:05:00 AM,22.238,2497.2,,,,
27,07/11/2024 11:10:00 AM,22.238,2497.2,,,,
28,07/11/2024 11:15:00 AM,22.238,2497.2,,,,
29,07/11/2024 11:20:00 AM,22.238,2497.2,,,,
30,07/11/2024 11:25:00 AM,22.333,2497.2,,,,
31,07/11/2024 11:30:00 AM,22.333,2497.2,,,,
32,07/11/2024 11:35:00 AM,22.333,2497.2,,,,
33,07/11/2024 11:40:00 AM,22.238,2497.2,,,,
34,07/11/2024 11:45:00 AM,22.238,2497.2,,,,
35,07/11/2024 11:50:00 AM,22.238,2497.2,,,,
36,07/11/2024 11:55:00 AM,22.238,2497.2,,,,
37,07/11/2024 12:00:00 PM,22.238,2497.2,,,,
38,07/11/2024 12:05:00 PM,22.142,2497.2,,,,
39,07/11/2024 12:10:00 PM,22.142,2497.2,,,,
40,07/11/2024 12:15:00 PM,22.142,2497.2,,,,
41,07/11/2024 12:20:00 PM,22.142,2497.2,,,,
42,07/11/2024 12:25:00 PM,22.238,2497.2,,,,
43,07/11/2024 12:30:00 PM,22.238,2497.2,,,,
44,07/11/2024 12:35:00 PM,22.238,2497.2,,,,
45,07/11/2024 12:40:00 PM,22.238,2497.2,,,,
46,07/11/2024 12:45:00 PM,22.238,2497.2,,,,
47,07/11/2024 12:50:00 PM,22.238,2497.2,,,,
48,07/11/2024 12:55:00 PM,22.238,2497.2,,,,
49,07/11/2024 01:00:00 PM,22.238,2497.2,,,,
50,07/11/2024 01:05:00 PM,22.238,2497.2,,,,
51,07/11/2024 01:10:00 PM,22.238,2497.2,,,,
52,07/11/2024 01:15:00 PM,22.238,2497.2,,,,
53,07/11/2024 01:20:00 PM,22.238,2497.2,,,,
54,07/11/2024 01:25:00 PM,22.238,2497.2,,,,
55,07/11/2024 01:30:00 PM,22.238,2497.2,,,,
56,07/11/2024 01:35:00 PM,22.238,2497.2,,,,
57,07/11/2024 01:40:00 PM,22.238,2497.2,,,,
58,07/11/2024 01:45:00 PM,22.238,2497.2,,,,
59,07/11/2024 01:50:00 PM,22.238,2497.2,,,,
60,07/11/2024 01:55:00 PM,22.238,2497.2,,,,
61,07/11/2024 02:00:00 PM,22.238,2497.2,,,,
62,07/11/2024 02:05:00 PM,22.238,2497.2,,,,
63,07/11/2024 02:10:00 PM,22.142,2497.2,,,,
64,07/11/2024 02:15:00 PM,22.142,2497.2,,,,
65,07/11/2024 02:20:00 PM,22.142,2497.2,,,,
66,07/11/2024 02:25:00 PM,22.142,2497.2,,,,
67,07/11/2024 02:30:00 PM,22.046,2497.2,,,,
68,07/11/2024 02:35:00 PM,22.046,2497.2,,,,
69,07/11/2024 02:40:00 PM,22.046,2497.2,,,,
70,07/11/2024 02:45:00 PM,22.046,2497.2,,,,
71,07/11/2024 02:50:00 PM,22.046,2497.2,,,,
72,07/11/2024 02:55:00 PM,22.046,2497.2,,,,
73,07/11/2024 03:00:00 PM,22.046,2497.2,,,,
74,07/11/2024 03:05:00 PM,22.046,2497.2,,,,
75,07/11/2024 03:10:00 PM,22.046,2497.2,,,,
76,07/11/2024 03:15:00 PM,22.046,2497.2,,,,
77,07/11/2024 03:20:00 PM,22.046,2497.2,,,,
78,07/11/2024 03:25:00 PM,22.046,2497.2,,,,
79,07/11/2024 03:30:00 PM,22.046,2497.2,,,,
80,07/11/2024 03:35:00 PM,22.046,2497.2,,,,
81,07/11/2024 03:40:00 PM,22.142,2497.2,,,,
82,07/11/2024 03:45:00 PM,22.142,2497.2,,,,
83,07/11/2024 03:50:00 PM,22.142,2497.2,,,,
84,07/11/2024 03:55:00 PM,22.142,2497.2,,,,
85,07/11/2024 04:00:00 PM,23.196,2497.2,,,,
86,07/11/2024 04:05:00 PM,23.581,2497.2,,,,
87,07/11/2024 04:10:00 PM,27.075,2497.2,,,,
88,07/11/2024 04:15:00 PM,29.053,2497.2,,,,
89,07/11/2024 04:20:00 PM,26.097,2583.4,,,,
90,07/11/2024 04:25:00 PM,24.931,2497.2,,,,
91,07/11/2024 04:30:00 PM,24.545,2497.2,,,,
92,07/11/2024 04:35:00 PM,23.869,2497.2,,,,
93,07/11/2024 04:40:00 PM,22.812,2497.2,,,,
94,07/11/2024 04:45:00 PM,20.996,2497.2,,,,
95,07/11/2024 04:50:00 PM,20.805,2497.2,,,,
96,07/11/2024 04:55:00 PM,21.091,2497.2,,,,
97,07/11/2024 05:00:00 PM,21.282,2497.2,,,,
98,07/11/2024 05:05:00 PM,21.473,2497.2,,,,
99,07/11/2024 05:10:00 PM,21.473,2497.2,,,,
100,07/11/2024 05:15:00 PM,21.473,2497.2,,,,
101,07/11/2024 05:20:00 PM,21.473,2497.2,,,,
102,07/11/2024 05:25:00 PM,21.378,2497.2,,,,
103,07/11/2024 05:30:00 PM,21.378,2497.2,,,,
104,07/11/2024 05:35:00 PM,21.282,2497.2,,,,
105,07/11/2024 05:40:00 PM,21.282,2497.2,,,,
106,07/11/2024 05:45:00 PM,21.187,2497.2,,,,
107,07/11/2024 05:50:00 PM,21.187,2497.2,,,,
108,07/11/2024 05:55:00 PM,21.187,2497.2,,,,
109,07/11/2024 06:00:00 PM,21.187,2497.2,,,,
110,07/11/2024 06:05:00 PM,21.187,2497.2,,,,
111,07/11/2024 06:10:00 PM,21.187,2497.2,,,,
112,07/11/2024 06:15:00 PM,21.187,2497.2,,,,
113,07/11/2024 06:20:00 PM,21.091,2497.2,,,,
114,07/11/2024 06:25:00 PM,21.091,2497.2,,,,
115,07/11/2024 06:30:00 PM,21.187,2497.2,,,,
116,07/11/2024 06:35:00 PM,21.282,2497.2,,,,
117,07/11/2024 06:40:00 PM,21.378,2497.2,,,,
118,07/11/2024 06:45:00 PM,21.378,2497.2,,,,
119,07/11/2024 06:50:00 PM,21.378,2497.2,,,,
120,07/11/2024 06:55:00 PM,21.378,2497.2,,,,
121,07/11/2024 07:00:00 PM,21.378,2497.2,,,,
122,07/11/2024 07:05:00 PM,21.378,2497.2,,,,
123,07/11/2024 07:10:00 PM,21.378,2497.2,,,,
124,07/11/2024 07:15:00 PM,21.187,2497.2,,,,
125,07/11/2024 07:20:00 PM,21.091,2497.2,,,,
126,07/11/2024 07:25:00 PM,20.996,2497.2,,,,
127,07/11/2024 07:30:00 PM,20.996,2497.2,,,,
128,07/11/2024 07:35:00 PM,20.996,2497.2,,,,
129,07/11/2024 07:40:00 PM,20.901,2497.2,,,,
130,07/11/2024 07:45:00 PM,20.805,2497.2,,,,
131,07/11/2024 07:50:00 PM,20.805,2497.2,,,,
132,07/11/2024 07:55:00 PM,20.710,2497.2,,,,
133,07/11/2024 08:00:00 PM,20.615,2497.2,,,,
134,07/11/2024 08:05:00 PM,20.519,2497.2,,,,
135,07/11/2024 08:10:00 PM,20.424,2497.2,,,,
136,07/11/2024 08:15:00 PM,20.329,2497.2,,,,
137,07/11/2024 08:20:00 PM,20.138,2497.2,,,,
138,07/11/2024 08:25:00 PM,20.043,2497.2,,,,
139,07/11/2024 08:30:00 PM,19.948,2497.2,,,,
140,07/11/2024 08:35:00 PM,19.758,2497.2,,,,
141,07/11/2024 08:40:00 PM,19.662,2497.2,,,,
142,07/11/2024 08:45:00 PM,19.567,2411.1,,,,
143,07/11/2024 08:50:00 PM,19.377,2411.1,,,,
144,07/11/2024 08:55:00 PM,19.282,2411.1,,,,
145,07/11/2024 09:00:00 PM,19.187,2411.1,,,,
146,07/11/2024 09:05:00 PM,19.092,2411.1,,,,
147,07/11/2024 09:10:00 PM,18.996,2411.1,,,,
148,07/11/2024 09:15:00 PM,18.901,2411.1,,,,
149,07/11/2024 09:20:00 PM,18.711,2497.2,,,,
150,07/11/2024 09:25:00 PM,18.616,2411.1,,,,
151,07/11/2024 09:30:00 PM,18.616,2497.2,,,,
152,07/11/2024 09:35:00 PM,18.521,2497.2,,,,
153,07/11/2024 09:40:00 PM,18.426,2497.2,,,,
154,07/11/2024 09:45:00 PM,18.331,2497.2,,,,
155,07/11/2024 09:50:00 PM,18.236,2497.2,,,,
156,07/11/2024 09:55:00 PM,18.236,2497.2,,,,
157,07/11/2024 10:00:00 PM,18.140,2497.2,,,,
