"Plot Title: 22026091"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 22026091, SEN S/N: 22026091)","Coupler Attached (LGR S/N: 22026091, SEN S/N: 22026091)","Host Connected (LGR S/N: 22026091, SEN S/N: 22026091)","Stopped (LGR S/N: 22026091, SEN S/N: 22026091)","End Of File (LGR S/N: 22026091, SEN S/N: 22026091)"
1,07/11/2024 09:00:00 AM,21.855,,,,
2,07/11/2024 09:05:00 AM,21.855,,,,
3,07/11/2024 09:10:00 AM,21.855,,,,
4,07/11/2024 09:15:00 AM,21.855,,,,
5,07/11/2024 09:20:00 AM,21.855,,,,
6,07/11/2024 09:25:00 AM,21.951,,,,
7,07/11/2024 09:30:00 AM,21.951,,,,
8,07/11/2024 09:35:00 AM,21.951,,,,
9,07/11/2024 09:40:00 AM,21.951,,,,
10,07/11/2024 09:45:00 AM,21.951,,,,
11,07/11/2024 09:50:00 AM,21.951,,,,
12,07/11/2024 09:55:00 AM,22.046,,,,
13,07/11/2024 10:00:00 AM,22.046,,,,
14,07/11/2024 10:05:00 AM,22.046,,,,
15,07/11/2024 10:10:00 AM,22.046,,,,
16,07/11/2024 10:15:00 AM,22.142,,,,
17,07/11/2024 10:20:00 AM,22.238,,,,
18,07/11/2024 10:25:00 AM,22.142,,,,
19,07/11/2024 10:30:00 AM,22.142,,,,
20,07/11/2024 10:35:00 AM,22.238,,,,
21,07/11/2024 10:40:00 AM,22.238,,,,
22,07/11/2024 10:45:00 AM,22.238,,,,
23,07/11/2024 10:50:00 AM,22.238,,,,
24,07/11/2024 10:55:00 AM,22.333,,,,
25,07/11/2024 11:00:00 AM,22.333,,,,
26,07/11/2024 11:05:00 AM,22.333,,,,
27,07/11/2024 11:10:00 AM,22.333,,,,
28,07/11/2024 11:15:00 AM,22.333,,,,
29,07/11/2024 11:20:00 AM,22.333,,,,
30,07/11/2024 11:25:00 AM,22.429,,,,
31,07/11/2024 11:30:00 AM,22.525,,,,
32,07/11/2024 11:35:00 AM,22.525,,,,
33,07/11/2024 11:40:00 AM,22.525,,,,
34,07/11/2024 11:45:00 AM,22.525,,,,
35,07/11/2024 11:50:00 AM,22.525,,,,
36,07/11/2024 11:55:00 AM,22.525,,,,
37,07/11/2024 12:00:00 PM,22.525,,,,
38,07/11/2024 12:05:00 PM,22.525,,,,
39,07/11/2024 12:10:00 PM,22.525,,,,
40,07/11/2024 12:15:00 PM,22.621,,,,
41,07/11/2024 12:20:00 PM,22.621,,,,
42,07/11/2024 12:25:00 PM,22.621,,,,
43,07/11/2024 12:30:00 PM,22.621,,,,
44,07/11/2024 12:35:00 PM,22.717,,,,
45,07/11/2024 12:40:00 PM,22.717,,,,
46,07/11/2024 12:45:00 PM,22.717,,,,
47,07/11/2024 12:50:00 PM,22.717,,,,
48,07/11/2024 12:55:00 PM,22.717,,,,
49,07/11/2024 01:00:00 PM,22.717,,,,
50,07/11/2024 01:05:00 PM,22.717,,,,
51,07/11/2024 01:10:00 PM,22.717,,,,
52,07/11/2024 01:15:00 PM,22.812,,,,
53,07/11/2024 01:20:00 PM,22.812,,,,
54,07/11/2024 01:25:00 PM,22.812,,,,
55,07/11/2024 01:30:00 PM,22.908,,,,
56,07/11/2024 01:35:00 PM,22.908,,,,
57,07/11/2024 01:40:00 PM,22.908,,,,
58,07/11/2024 01:45:00 PM,22.908,,,,
59,07/11/2024 01:50:00 PM,23.004,,,,
60,07/11/2024 01:55:00 PM,23.004,,,,
61,07/11/2024 02:00:00 PM,22.908,,,,
62,07/11/2024 02:05:00 PM,22.908,,,,
63,07/11/2024 02:10:00 PM,23.388,,,,
64,07/11/2024 02:15:00 PM,23.388,,,,
65,07/11/2024 02:20:00 PM,23.484,,,,
66,07/11/2024 02:25:00 PM,23.581,,,,
67,07/11/2024 02:30:00 PM,23.677,,,,
68,07/11/2024 02:35:00 PM,23.677,,,,
69,07/11/2024 02:40:00 PM,23.677,,,,
70,07/11/2024 02:45:00 PM,23.773,,,,
71,07/11/2024 02:50:00 PM,23.773,,,,
72,07/11/2024 02:55:00 PM,23.869,,,,
73,07/11/2024 03:00:00 PM,24.351,,,,
74,07/11/2024 03:05:00 PM,24.738,,,,
75,07/11/2024 03:10:00 PM,25.125,,,,
76,07/11/2024 03:15:00 PM,25.319,,,,
77,07/11/2024 03:20:00 PM,25.319,,,,
78,07/11/2024 03:25:00 PM,25.222,,,,
79,07/11/2024 03:30:00 PM,25.222,,,,
80,07/11/2024 03:35:00 PM,25.319,,,,
81,07/11/2024 03:40:00 PM,25.319,,,,
82,07/11/2024 03:45:00 PM,25.416,,,,
83,07/11/2024 03:50:00 PM,25.610,,,,
84,07/11/2024 03:55:00 PM,25.610,,,,
85,07/11/2024 04:00:00 PM,24.738,,,,
86,07/11/2024 04:05:00 PM,24.448,,,,
87,07/11/2024 04:10:00 PM,27.272,,,,
88,07/11/2024 04:15:00 PM,28.953,,,,
89,07/11/2024 04:20:00 PM,26.097,,,,
90,07/11/2024 04:25:00 PM,24.835,,,,
91,07/11/2024 04:30:00 PM,24.448,,,,
92,07/11/2024 04:35:00 PM,23.869,,,,
93,07/11/2024 04:40:00 PM,22.046,,,,
94,07/11/2024 04:45:00 PM,20.234,,,,
95,07/11/2024 04:50:00 PM,18.616,,,,
96,07/11/2024 04:55:00 PM,18.426,,,,
97,07/11/2024 05:00:00 PM,18.236,,,,
98,07/11/2024 05:05:00 PM,18.236,,,,
99,07/11/2024 05:10:00 PM,18.140,,,,
100,07/11/2024 05:15:00 PM,18.140,,,,
101,07/11/2024 05:20:00 PM,18.045,,,,
102,07/11/2024 05:25:00 PM,18.045,,,,
103,07/11/2024 05:30:00 PM,18.045,,,,
104,07/11/2024 05:35:00 PM,18.045,,,,
105,07/11/2024 05:40:00 PM,18.045,,,,
106,07/11/2024 05:45:00 PM,18.045,,,,
107,07/11/2024 05:50:00 PM,18.045,,,,
108,07/11/2024 05:55:00 PM,17.950,,,,
109,07/11/2024 06:00:00 PM,17.950,,,,
110,07/11/2024 06:05:00 PM,17.950,,,,
111,07/11/2024 06:10:00 PM,17.950,,,,
112,07/11/2024 06:15:00 PM,17.950,,,,
113,07/11/2024 06:20:00 PM,17.950,,,,
114,07/11/2024 06:25:00 PM,17.950,,,,
115,07/11/2024 06:30:00 PM,17.950,,,,
116,07/11/2024 06:35:00 PM,17.950,,,,
117,07/11/2024 06:40:00 PM,17.950,,,,
118,07/11/2024 06:45:00 PM,17.950,,,,
119,07/11/2024 06:50:00 PM,17.950,,,,
120,07/11/2024 06:55:00 PM,18.045,,,,
121,07/11/2024 07:00:00 PM,17.950,,,,
122,07/11/2024 07:05:00 PM,18.045,,,,
123,07/11/2024 07:10:00 PM,18.045,,,,
124,07/11/2024 07:15:00 PM,17.950,,,,
125,07/11/2024 07:20:00 PM,18.045,,,,
126,07/11/2024 07:25:00 PM,18.045,,,,
127,07/11/2024 07:30:00 PM,18.045,,,,
128,07/11/2024 07:35:00 PM,18.045,,,,
129,07/11/2024 07:40:00 PM,18.045,,,,
130,07/11/2024 07:45:00 PM,18.045,,,,
131,07/11/2024 07:50:00 PM,18.045,,,,
132,07/11/2024 07:55:00 PM,18.045,,,,
133,07/11/2024 08:00:00 PM,18.045,,,,
134,07/11/2024 08:05:00 PM,18.045,,,,
135,07/11/2024 08:10:00 PM,18.045,,,,
136,07/11/2024 08:15:00 PM,18.045,,,,
137,07/11/2024 08:20:00 PM,18.045,,,,
138,07/11/2024 08:25:00 PM,18.045,,,,
139,07/11/2024 08:30:00 PM,18.045,,,,
140,07/11/2024 08:35:00 PM,18.045,,,,
141,07/11/2024 08:40:00 PM,18.045,,,,
142,07/11/2024 08:45:00 PM,18.045,,,,
143,07/11/2024 08:50:00 PM,18.045,,,,
144,07/11/2024 08:55:00 PM,18.045,,,,
145,07/11/2024 09:00:00 PM,18.045,,,,
146,07/11/2024 09:05:00 PM,18.045,,,,
147,07/11/2024 09:10:00 PM,18.140,,,,
148,07/11/2024 09:15:00 PM,18.045,,,,
149,07/11/2024 09:20:00 PM,18.140,,,,
150,07/11/2024 09:25:00 PM,18.140,,,,
151,07/11/2024 09:30:00 PM,18.140,,,,
152,07/11/2024 09:35:00 PM,18.140,,,,
153,07/11/2024 09:40:00 PM,18.140,,,,
154,07/11/2024 09:45:00 PM,18.140,,,,
155,07/11/2024 09:50:00 PM,18.140,,,,
156,07/11/2024 09:55:00 PM,18.140,,,,
157,07/11/2024 10:00:00 PM,18.140,,,,
158,07/11/2024 10:05:00 PM,18.140,,,,
159,07/11/2024 10:10:00 PM,18.140,,,,
160,07/11/2024 10:15:00 PM,18.140,,,,
161,07/11/2024 10:20:00 PM,18.140,,,,
162,07/11/2024 10:25:00 PM,18.140,,,,
163,07/11/2024 10:30:00 PM,18.140,,,,
164,07/11/2024 10:35:00 PM,18.140,,,,
165,07/11/2024 10:40:00 PM,18.140,,,,
166,07/11/2024 10:45:00 PM,18.140,,,,
167,07/11/2024 10:50:00 PM,18.140,,,,
